V1,V2,weight
1,6,5
1,8,11294
1,9,50003
1,10,780
1,15,234
1,16,9658
1,23,132
1,25,7806
1,32,3633
1,36,13
1,37,20
1,39,8
1,43,179
1,44,45
1,46,16
1,47,250
1,50,3919
1,55,35
1,58,23
1,61,7
1,62,3202
1,63,11865
1,66,9
1,67,172814
1,69,15657
1,77,2400
1,78,33
1,79,12067
1,80,7176
1,81,953447
1,82,144
1,83,338
1,85,17959
1,87,49
1,88,17
1,89,686
1,90,8
1,92,314
1,94,54
1,95,29
1,99,7
1,100,214
1,101,275
1,104,706
1,107,7
1,108,7
1,110,6
1,113,21
1,118,48
1,119,59
1,120,7463
1,121,46
1,124,5
1,126,9021
1,128,1737882
1,130,8
1,131,28
1,134,12
1,135,100
1,136,25
1,138,41
1,139,27
1,140,129
1,141,935
1,149,8
1,150,3519
1,155,287
1,156,129
1,159,6
1,161,350
1,162,186
1,164,6
1,167,50775
1,168,13436
1,169,1466
1,170,3261
1,171,73
1,179,118116
1,180,19
1,183,4406
1,184,18
1,185,12545
1,187,2250
1,189,26
1,190,10
2,6,18
2,8,129
2,9,193
2,16,902
2,32,1074
2,47,6
2,50,6
2,58,8
2,62,6
2,63,8600
2,67,11957
2,69,1616
2,78,37
2,83,456
2,85,853
2,99,5
2,101,242
2,110,14
2,120,87
2,126,33
2,161,25
2,167,783
2,168,151
2,185,4546
2,187,3074
3,6,31
3,8,21
3,9,623
3,16,126
3,23,12
3,25,33
3,32,430
3,43,7
3,46,8
3,47,8
3,50,11
3,62,23
3,63,2807
3,67,3141
3,69,440
3,77,93
3,83,328
3,85,248
3,88,7
3,95,7
3,101,38
3,114,12
3,120,381
3,121,6
3,126,32
3,128,17
3,138,21
3,149,19
3,156,7
3,159,42
3,161,442
3,167,248
3,168,289
3,169,32
3,178,12
3,179,22
3,183,14
3,185,497
3,187,279
4,6,14
4,9,114
4,16,133
4,22,6
4,23,3534
4,32,127
4,34,13
4,41,545
4,44,6
4,47,19
4,49,507
4,62,155
4,63,3984
4,64,8
4,67,1044
4,77,5
4,80,6
4,83,250
4,85,44
4,90,6
4,101,15
4,120,95
4,126,48
4,136,24
4,142,5
4,149,12
4,159,172
4,161,21
4,166,11
4,167,92
4,168,887
4,179,8
4,183,38
4,185,344
4,187,957
4,188,7
4,194,19800
5,32,97
5,187,8
6,8,9
6,23,19
6,32,34
6,67,18
6,120,5
6,161,10
6,185,5
6,187,219
7,6,184
7,9,1638
7,16,241
7,25,32
7,32,97
7,46,45
7,47,104
7,50,113
7,63,5228
7,67,9891
7,69,73
7,77,74
7,83,11
7,85,351
7,95,12
7,99,8
7,101,6
7,120,537
7,126,10
7,130,7
7,135,155
7,139,19
7,155,10
7,161,154
7,167,901
7,168,210
7,183,225
7,185,86
7,187,3354
8,32,5
10,7,2046
10,8,29
10,9,552
10,15,5
10,16,104
10,32,334
10,43,5
10,47,70
10,50,54
10,55,6
10,62,44
10,63,3325
10,66,9
10,67,8554
10,77,13
10,83,15
10,85,78
10,94,5
10,100,11
10,101,20
10,120,376
10,126,59
10,141,25
10,161,63
10,167,1205
10,168,125
10,180,7
10,183,208
10,185,84
10,187,731
11,32,178
11,187,229
12,8,103
12,32,47
12,67,80
12,95,29
12,121,23
12,167,15
12,185,160
12,187,65
13,6,78
13,8,994
13,9,782
13,16,46
13,23,903
13,25,32
13,32,1089
13,42,17
13,43,5
13,46,107
13,50,38
13,55,14
13,62,47
13,63,7498
13,66,6
13,67,3559
13,69,1516
13,77,24
13,80,68
13,83,246
13,85,9772
13,87,721
13,95,28
13,104,34
13,107,8
13,110,9
13,114,7
13,119,12
13,120,68
13,121,13
13,126,27
13,130,18
13,133,17
13,135,11
13,138,438
13,140,5
13,158,6
13,159,1951
13,161,143
13,162,10
13,167,577
13,168,109
13,177,23
13,179,148
13,183,126
13,185,2629
13,187,5735
14,32,176
14,185,7
15,8,6
15,9,153
15,16,51
15,32,110
15,47,369
15,50,6
15,58,7
15,62,31
15,63,541
15,67,635
15,69,5
15,83,44
15,85,46
15,94,7
15,100,39
15,101,21
15,107,9
15,120,84
15,126,22
15,130,7
15,135,214
15,136,20
15,141,8
15,161,34
15,167,355
15,168,71
15,183,63
15,185,191
15,187,2578
16,32,7
16,67,5
16,187,42
17,32,13
17,187,190
18,9,38
18,16,56
18,23,124
18,27,6
18,32,60
18,37,5
18,55,6
18,63,27
18,67,572
18,83,5
18,85,363
18,114,7
18,120,13
18,149,5
18,159,10
18,161,10
18,167,9
18,168,42
18,185,18
18,187,245
19,8,8
19,23,52
19,32,8
19,63,118
19,67,36
19,83,9
19,119,11213
19,120,190
19,167,9
19,185,89
19,187,277
20,9,11
20,23,190
20,32,64
20,36,20
20,63,36
20,67,8
20,83,16
20,85,20
20,132,17
20,133,9
20,161,14
20,167,90
20,185,20
20,187,412
21,6,6
21,9,199
21,16,59
21,32,45
21,43,37
21,46,15
21,47,13
21,50,7
21,62,8
21,63,4354
21,67,3694
21,83,14
21,85,698
21,88,9
21,101,63
21,113,38
21,120,43
21,126,17
21,133,5
21,136,11
21,150,9081
21,156,8
21,167,352
21,168,2196
21,169,6
21,172,5
21,185,40
21,187,252
22,32,294
22,67,10
22,83,10
22,159,25
22,185,41
22,187,6
23,6,6
23,8,18
23,32,112
23,63,12
23,67,55
23,83,33
23,85,146
23,121,6
23,161,20
23,167,14
23,168,9
23,185,42
23,187,4072
25,16,14
25,32,158
25,47,16
25,63,73
25,67,101
25,126,13
25,161,5
25,167,19
25,168,10
25,187,617
26,3,5
26,9,16
26,16,132
26,23,52
26,28,6
26,32,101
26,63,345
26,67,414
26,69,32
26,85,1538
26,114,13
26,120,26
26,138,5
26,161,20
26,168,27
26,169,15
26,185,13
26,187,3740
27,4,103
27,8,77
27,9,17
27,16,830
27,22,119
27,23,54
27,26,32
27,28,30
27,31,77
27,32,2133
27,34,17
27,37,10
27,41,118
27,49,37154
27,50,6
27,55,53
27,60,120
27,63,613
27,64,13
27,67,130
27,68,24
27,69,26
27,73,11
27,83,31
27,85,28
27,87,8
27,90,8461
27,103,6396
27,106,8
27,115,5534
27,117,378
27,120,452
27,126,107
27,134,9
27,138,24
27,142,83784
27,149,77
27,159,3441
27,160,490
27,164,21
27,166,197
27,167,318
27,168,86
27,179,25
27,182,44450
27,183,13
27,185,88
27,186,397275
27,187,1324
27,194,4452
27,195,771
28,3,58
28,4,6448
28,6,25
28,7,6
28,8,5
28,9,117
28,16,259
28,18,176
28,23,96
28,25,9
28,26,7
28,31,133
28,32,281
28,34,9
28,37,21
28,41,29
28,46,14
28,49,18
28,50,12
28,55,155
28,62,18
28,63,4345
28,65,198
28,67,2192
28,68,7010
28,69,103
28,72,4785
28,73,28
28,77,15
28,79,15
28,80,9
28,83,25
28,85,11302
28,90,6
28,95,6
28,97,37633
28,101,13
28,106,1146
28,107,15
28,108,336
28,114,569
28,115,12
28,120,427
28,123,70
28,124,143
28,126,27
28,134,18
28,136,33
28,138,52
28,141,5
28,149,351
28,152,21
28,159,65
28,161,396
28,167,92
28,168,243
28,171,16
28,175,2585
28,178,5
28,179,40
28,183,32
28,185,325
28,187,2245
28,195,18
29,23,81
29,187,17
30,8,151
30,16,8
30,32,88
30,63,11573
30,67,42
30,87,10
30,104,79
30,120,31
30,138,21
30,167,5
30,168,328
30,171,230
30,187,215
31,3,33
31,6,37
31,8,67
31,9,344
31,16,626
31,23,183
31,25,9
31,26,5
31,32,1114
31,35,523
31,36,9
31,37,49
31,41,5
31,42,19
31,43,6
31,46,123
31,47,6
31,49,19
31,50,15
31,55,29
31,62,116
31,63,1341
31,67,3013
31,68,11
31,69,245
31,77,41
31,79,25
31,80,40
31,83,108
31,85,2359
31,87,122
31,90,15
31,95,6
31,100,5
31,101,29
31,107,9
31,108,25
31,110,32
31,114,538
31,117,6
31,120,105
31,123,6
31,124,175
31,126,27
31,130,14
31,135,8
31,136,13
31,138,106
31,140,22
31,141,6
31,149,53
31,155,7
31,159,898
31,161,251
31,164,7
31,167,232
31,168,287
31,175,9
31,179,95
31,183,117
31,185,737
31,187,6838
31,188,7
32,67,23
32,185,22
32,187,80
33,187,6
34,3,71
34,4,85
34,16,53
34,18,796
34,23,5
34,26,330
34,28,355
34,31,292316
34,32,64
34,35,103417
34,41,29806
34,49,118063
34,55,30
34,63,3172
34,64,313
34,67,99
34,68,167
34,69,13
34,72,34
34,83,9
34,85,124
34,90,5
34,106,1120
34,108,630
34,114,221
34,120,7
34,123,108
34,124,215
34,126,7
34,136,5
34,140,10
34,149,736
34,159,12
34,160,1853
34,161,147
34,164,1584
34,168,19
34,175,483
34,178,5
34,179,14
34,182,21
34,185,9
34,187,309
35,4,964
35,9,8
35,16,53
35,26,123
35,31,1735
35,32,442
35,34,181
35,41,63
35,49,11
35,55,98
35,63,1748
35,64,1267
35,67,357
35,68,43
35,85,495
35,88,14
35,98,74
35,106,7
35,120,5
35,123,165
35,124,104
35,142,7
35,148,8
35,149,69
35,161,10
35,164,8507
35,167,27
35,168,60
35,169,30
35,175,22
35,182,5
35,183,15
35,185,62
35,187,548
36,6,41
36,9,5
36,16,54
36,20,8
36,23,28
36,32,85
36,63,68
36,67,180
36,85,9
36,161,5
36,167,47
36,168,10
36,187,134
36,190,10
37,2,11
37,6,35
37,8,5796
37,9,1071
37,16,1346
37,23,662
37,25,13
37,32,9466
37,46,8
37,47,111
37,50,30
37,62,148
37,63,4966
37,67,3058
37,69,233
37,77,7
37,79,110098
37,80,24
37,83,68
37,85,1033
37,87,96
37,89,12
37,99,20
37,104,47
37,107,15
37,110,5
37,120,1239
37,121,191
37,126,665
37,134,5
37,135,16
37,136,45
37,138,801
37,148,14
37,156,6
37,159,1372
37,161,410
37,167,361
37,168,3553
37,171,214
37,179,105
37,183,11
37,185,2512
37,187,129957
38,8,57
38,32,26
38,83,29
39,6,728
39,8,208
39,16,50
39,20,195
39,23,1525
39,32,9185
39,36,3602
39,42,2802
39,45,71
39,52,10
39,54,101207
39,56,5
39,63,501
39,67,149
39,71,6
39,85,436
39,110,349
39,120,92
39,121,30
39,122,6
39,126,23
39,130,17302
39,132,35
39,133,811
39,136,98
39,161,952
39,167,121
39,168,292
39,177,13
39,185,85
39,187,9805
39,188,151
39,190,172956
40,63,724
40,67,18
40,85,7
40,159,19
40,185,5
40,187,5
41,3,5
41,4,58
41,8,18
41,9,148
41,16,46
41,23,302
41,25,12
41,26,43
41,28,65
41,31,61
41,32,294
41,34,19
41,35,9
41,36,8
41,42,9
41,46,9
41,49,705
41,55,18
41,62,8
41,63,4075
41,64,87
41,65,9
41,67,417
41,68,19
41,69,86
41,77,11
41,79,6
41,83,193
41,85,538
41,90,72
41,101,5
41,106,34
41,110,23
41,114,85
41,115,26
41,117,7
41,120,579
41,126,8
41,135,6
41,136,31
41,140,9
41,141,7
41,149,281
41,150,7
41,159,5919
41,161,31
41,164,8
41,166,14
41,167,106
41,168,65
41,175,42
41,179,118
41,183,55
41,185,190
41,187,2520
41,195,15
42,6,5
42,32,20
42,161,5
42,187,464
43,16,5
43,21,5201
43,23,5
43,32,445
43,62,10
43,63,63
43,67,347
43,77,5
43,85,18
43,113,24
43,150,20352
43,167,11
43,168,35
43,187,69
44,6,767
44,7,6
44,9,37
44,11,21
44,16,8
44,20,9
44,23,2218
44,32,941
44,33,37
44,36,108
44,39,86
44,42,514
44,45,13
44,47,278
44,52,19
44,62,6
44,63,175
44,67,279
44,77,84
44,83,22
44,85,229
44,86,8
44,110,167
44,113,7
44,120,24
44,122,15
44,126,7
44,130,1288
44,132,76
44,133,931
44,135,17
44,136,7
44,150,5
44,154,5
44,155,32
44,161,1025
44,165,38
44,167,121
44,168,43
44,177,117
44,183,10
44,185,15
44,187,783
44,188,317
45,187,35
47,16,6
47,32,575
47,63,28
47,67,821
47,121,17
47,168,7
47,187,34
48,8,27
48,16,36
48,32,798
48,50,10
48,63,11
48,67,229
48,101,12
48,120,55
48,126,12
48,141,90
48,167,14
48,185,611
48,187,26
49,3,79
49,4,13444
49,6,44
49,8,83
49,9,559
49,16,1413
49,18,19
49,22,604
49,23,2081
49,25,6
49,26,29
49,27,59860
49,28,137
49,31,643
49,32,2162
49,34,4954
49,35,298
49,36,7
49,37,15
49,41,15003
49,42,35
49,46,47
49,47,21
49,50,95
49,55,54
49,60,1031
49,62,188
49,63,18024
49,64,993
49,65,41
49,67,2236
49,68,103
49,69,334
