,label,GDP
1,Afghanistan,561.8
2,Albania,4125
3,Algeria,3916.9
4,Angola,3308.7
5,Antigua.and.Barbuda,14462.2
6,Argentina,12440.3
7,Armenia,3614.7
8,Australia,49755.3
9,Austria,44758
10,Azerbaijan,3879
11,Bahamas,28785
12,Bahrain,22579
13,Bangladesh,1359
14,Barbados,15892
15,Belarus,4989
16,Belgium,41271
17,Belize,8300
18,Benin,789
19,Bhutan,2774
20,Bolivia,3105
21,Bosnia.and.Herzegovina,4808
22,Botswana,6924
23,Brazil,8650
24,Brunei.Darussalam,26939
25,Bulgaria,7469
26,Burkina.Faso,627
27,Burundi,286
28,C√.te.d.Ivoire,1535
29,Cabo.Verde,2997.75268
30,Cambodia,1269.907238
31,Cameroon,1374.5
32,Canada,42348.9
33,Cayman.Islands,43800
34,Central.African.Rep.,382.2
35,Chad,664.3
36,Chile,13793
37,China,8123
38,China..Hong.Kong.SAR,43740.99288
39,Colombia,5805.6
40,Comoros,775.1
41,Congo,1528.24
42,Costa.Rica,11824.6
43,Croatia,12149.2
44,Cuba,11900
45,Cura√.ao,
46,Cyprus,23541.5
47,Czech.Rep.,18483.7
48,Dem..People.s.Rep..of.Korea,0
49,Dem..Rep..of.the.Congo,801
50,Denmark,53578.8
51,Djibouti,3600
52,Dominican.Rep.,6722.223536
53,Dominica,7906.7
54,Ecuador,6018.526868
55,Egypt,3477.851743
56,El.Salvador,4223.584579
57,Eritrea,1400
58,Estonia,17736.8027
59,Equatorial.Guinea,8747.353473
60,Ethiopia,706.7574751
61,Fiji,5233.469423
62,Finland,43433.03222
63,France,36857.11923
64,Gabon,7179.340661
65,Gambia,1689
66,Georgia,3865.785693
67,Germany,42161.31966
68,Ghana,1513.461034
69,Greece,17890.57494
70,Grenada,9841.76405
71,Guatemala,4146.744129
72,Guinea,661.5277734
73,Guinea.Bissau,641.5959647
74,Guyana,4529.139412
75,Haiti,739.5954363
76,Honduras,2361.160205
77,Hungary,12820.0882
78,Iceland,60529.92676
79,India,1709.591808
80,Indonesia,3570.294888
81,Iran..Islamic.Rep..of.,5219.109408
82,Iraq,4609.600694
83,Ireland,64175.43772
84,Israel,37180.52711
85,Italy,30668.98143
86,Jamaica,4878.575791
87,Japan,38972.34064
88,Jordan,4087.937517
89,Kazakhstan,7714.693568
90,Kenya,1455.359765
91,Kuwait,27359.23033
92,Kyrgyzstan,1077.603082
93,Lao.People.s.Dem..Rep.,2338.692157
94,Latvia,14071.02723
95,Lebanon,8257.294391
96,Lesotho,1039.704072
97,Liberia,455.3707414
98,Libya,9800
99,Liechtenstein,168146.0153
100,Lithuania,14912.68654
101,Luxembourg,100738.6842
102,Madagascar,401.7422696
103,Malawi,300.3076651
104,Malaysia,9508.23775
105,Maldives,9875.278428
106,Mali,779.9448438
107,Malta,25145.39315
108,Mauritania,1101.901627
109,Mauritius,9630.944028
110,Mexico,8208.555984
111,Monaco,115700
112,Mongolia,3694.082552
113,Montenegro,16854
114,Morocco,2892.775561
115,Mozambique,382.0693304
116,Myanmar,1195.515372
117,Namibia,4414.978947
118,Nauru,7821.298918
119,Nepal,729.1222515
120,Netherlands,45637.88675
121,New.Zealand,39412.48525
122,Nicaragua,2151.382047
123,Niger,364.1654618
124,Nigeria,2175.673442
125,Niue,0
126,Norway,70867.94061
127,Oman,14982.35792
128,Pakistan,1443.625016
129,Palestinian,2943.404534
130,Panama,13680.23601
131,Papua.New.Guinea,3800
132,Paraguay,4077.742073
133,Peru,6049.232578
134,Philippines,2951.071929
135,Poland,12414.09873
136,Portugal,19871.71897
137,Qatar,59324.33877
138,Rep..of.Korea,27538.80613
139,Rep..of.Moldova,1900.226088
140,Romania,9522.771041
141,Russian.Federation,8748.368853
142,Rwanda,702.8356016
143,Saint.Kitts.and.Nevis,16596.82639
144,Saint.Lucia,9364.821525
145,Saint.Vincent.and.the.Grenadines,7006.596196
146,Samoa,4030.013144
147,Sao.Tome.and.Principe,1714.680184
148,Saudi.Arabia,20028.64821
149,Senegal,952.7683234
150,Serbia&Kosovo,5426.198279
151,Seychelles,15075.71944
152,Sierra.Leone,505.2045112
153,Singapore,52962.49157
154,Sint.Maarten..Dutch.part.,19300
155,Slovakia,16529.54097
156,Slovenia,21650.21276
157,Solomon.Islands,2005.483643
158,Somalia,434.2088097
159,South.Africa,5274.546008
160,South.Sudan,1500
161,Spain,26616.4881
162,Sri.Lanka,3835.394817
163,Stateless,0
164,Sudan,2415.038162
165,Suriname,5871.442003
166,Swaziland,2770.199475
167,Sweden,51844.76126
168,Switzerland,79887.51824
169,Syrian.Arab.Rep.,2900
170,Tajikistan,795.8438644
171,Thailand,5910.620932
172,Republic.of.Macedonia,5237.14767
173,Tibetan,0
174,Timor.Leste,1405.387212
175,Togo,578.4616936
176,Tonga,3748.641794
177,Trinidad.and.Tobago,16040.52424
178,Tunisia,3688.646375
179,Turkey,10862.6004
180,Turkmenistan,6389.334143
181,Turks.and.Caicos.Islands,0
182,Uganda,580.3835385
183,Ukraine,2185.728031
184,United.Arab.Emirates,37622.20746
185,United.Kingdom,40412.03362
186,United.Rep..of.Tanzania,3688.646375
187,United.States.of.America,57638.15909
188,Uruguay,15220.56603
189,Uzbekistan,2110.667754
190,Venezuela..Bolivarian.Republic.of.,12400
191,Viet.Nam,2170.648054
192,Western.Sahara,1467.328823
193,Yemen,990.334774
194,Zambia,1269.573537
195,Zimbabwe,1029.076649
196,Various.Unknown,0
